%->fc,0.0,0,1
aa->bf,0.0,0,1
bf->ny,0.0,0,3
sd->bf,0.0,0,6
sd->^h,0.0,0,0
sv->qh,0.0,0,2
"fo_o_fw_""_by_bc->%",0.0,0,1
sv->^2,0.0,0,3
aa->fc,0.0,0,3
fa->bd,0.0,0,1
qw^d->b,0.0,0,1
ad->aa,0.0,0,1
qy^d->ng,0.0,0,2
no->bk,0.0,0,0
na->x,0.0,0,0
b^m->bk,0.0,0,1
aa->^2,0.0,0,2
ba->qw,0.0,0,1
ad->fc,0.0,0,1
^q->x,0.0,0,1
qy^d->br,0.0,0,2
arp_nd->sv,0.0,0,1
ba->qy^d,0.0,0,1
b->qh,0.0,0,2
ad->qh,0.0,0,1
no->sd,0.0,0,2
b->qy^d,0.0,0,9
%->^h,0.0,0,1
b^m->x,0.0,0,0
%->br,0.0,0,1
b->^q,0.0,0,3
fp->ft,0.0,0,1
%->bh,0.0,0,2
nn->b^m,0.0,0,2
bh->b,0.0,0,0
sd->^q,0.0,0,9
bk->sv,0.0,0,3
qo->qo,0.0,0,0
h->aap_am,0.0,0,1
qo->qy^d,0.0,0,1
qh->sd,0.0,0,3
bk->%,0.0,0,1
qh->qy,0.0,0,0
qy^d->b,0.0,0,1
sv->bf,0.0,0,6
qy^d->na,0.0,0,4
br->sv,0.0,0,1
ny->qy,0.0,0,2
aa->ar,0.0,0,1
b^m->qw,0.0,0,1
qo->^h,0.0,0,1
aap_am->sv,0.0,0,4
qy->b,0.0,0,2
qo->sv,0.0,0,4
b->ft,0.0,0,1
b^m->%,0.0,0,1
b->ny,0.0,0,1
"fo_o_fw_""_by_bc->ba",0.0,0,1
ar->sv,0.0,0,1
sd->br,0.0,0,1
b^m->sd,0.0,0,10
sv->fc,0.0,0,1
sd->aap_am,0.0,0,2
%->bk,0.0,0,1
b->b^m,0.0,0,8
fp->qw,0.0,0,1
%->qh,0.0,0,1
^2->b,0.0,0,1
%->ar,0.0,0,1
fc->ft,0.0,0,5
sd->fa,0.0,0,2
^h->sd,0.0,0,3
ft->fc,0.0,0,5
na->sd,0.0,0,3
^2->qw,0.0,0,1
ar->sd,0.0,0,1
sd->ad,0.0,0,2
"aa->fo_o_fw_""_by_bc",0.0,0,2
qy^d->nn,0.0,0,6
"qw->fo_o_fw_""_by_bc",0.0,0,1
ad->qw,0.0,0,1
qy^d->qy,0.0,0,1
qy->arp_nd,0.0,0,1
qh->b,0.0,0,2
b->^2,0.0,0,2
^2->sv,0.0,0,2
sv->ba,0.0,0,5
na->b,0.0,0,1
sv->qw,0.0,0,1
ba->ad,0.0,0,1
bk->qy^d,0.0,0,2
qw->b,0.0,0,2
ba->fc,0.0,0,0
bk->bk,0.0,0,0
bf->%,0.0,0,1
"fo_o_fw_""_by_bc->na",0.0,0,1
qy^d->qy^d,0.0,0,2
^h->sv,0.0,0,2
x->^q,0.0,0,2
sv->aap_am,0.0,0,1
qw->qh,0.0,0,1
"bf->fo_o_fw_""_by_bc",0.0,0,1
x->bf,0.0,0,0
na->sv,0.0,0,1
na->bh,0.0,0,1
sd->arp_nd,0.0,0,1
^h->^h,0.0,0,1
ar->qy^d,0.0,0,1
^2->sd,0.0,0,3
qw->qy^d,0.0,0,1
aa->aap_am,0.0,0,1
^q->^q,0.0,0,3
fp->sd,0.0,0,1
ad->ba,0.0,0,1
"fo_o_fw_""_by_bc->b^m",0.0,0,1
na->qw,0.0,0,1
fc->%,0.0,0,1
no->qy^d,0.0,0,1
